cond	prot	gene.num
brain	CFIm25	25
brain	CFIm59	56
brain	CFIm68	32
brain	CPSF100	2
brain	CPSF160	43
brain	CPSF30	7
brain	CPSF73	4
brain	CstF64	46
brain	CstF64tau	53
brain	Fip1	23
brain	HuR_Mukherjee	7
brain	PTB	5
brain	TDP43	5
brain	TDP43_ES	5
brain	TDP43_Hela	2
brain	TDP43_SHSY5Y	3
brain	TIA1	11
brain	TIAL1	12
brain	TIAL1_Hela	15
brain	U2AF65	11
brain	hnRNPC	9
liver	CFIm25	29
liver	CFIm59	43
liver	CFIm68	29
liver	CPSF160	35
liver	CPSF30	7
liver	CPSF73	2
liver	CstF64	34
liver	CstF64tau	37
liver	Fip1	16
liver	HuR_Mukherjee	6
liver	PTB	3
liver	TDP43	4
liver	TDP43_ES	4
liver	TDP43_Hela	1
liver	TDP43_SHSY5Y	2
liver	TIA1	5
liver	TIAL1	10
liver	TIAL1_Hela	15
liver	U2AF65	6
liver	hnRNPC	4
maqcUHR1	CFIm25	32
maqcUHR1	CFIm59	66
maqcUHR1	CFIm68	42
maqcUHR1	CPSF100	2
maqcUHR1	CPSF160	61
maqcUHR1	CPSF30	7
maqcUHR1	CPSF73	5
maqcUHR1	CstF64	51
maqcUHR1	CstF64tau	64
maqcUHR1	Fip1	25
maqcUHR1	HuR_Mukherjee	10
maqcUHR1	PTB	6
maqcUHR1	TDP43	4
maqcUHR1	TDP43_ES	4
maqcUHR1	TDP43_Hela	2
maqcUHR1	TDP43_SHSY5Y	1
maqcUHR1	TIA1	9
maqcUHR1	TIAL1	11
maqcUHR1	TIAL1_Hela	26
maqcUHR1	U2AF65	17
maqcUHR1	hnRNPC	4
maqcUHR2	CFIm25	35
maqcUHR2	CFIm59	63
maqcUHR2	CFIm68	41
maqcUHR2	CPSF100	1
maqcUHR2	CPSF160	52
maqcUHR2	CPSF30	8
maqcUHR2	CPSF73	3
maqcUHR2	CstF64	49
maqcUHR2	CstF64tau	58
maqcUHR2	Fip1	22
maqcUHR2	HuR_Mukherjee	7
maqcUHR2	PTB	5
maqcUHR2	TDP43	3
maqcUHR2	TDP43_ES	3
maqcUHR2	TDP43_SHSY5Y	1
maqcUHR2	TIA1	6
maqcUHR2	TIAL1	9
maqcUHR2	TIAL1_Hela	19
maqcUHR2	U2AF65	10
maqcUHR2	hnRNPC	5
maqcbrain1	CFIm25	31
maqcbrain1	CFIm59	50
maqcbrain1	CFIm68	34
maqcbrain1	CPSF100	2
maqcbrain1	CPSF160	41
maqcbrain1	CPSF30	8
maqcbrain1	CPSF73	1
maqcbrain1	CstF64	41
maqcbrain1	CstF64tau	46
maqcbrain1	Fip1	17
maqcbrain1	HuR_Mukherjee	7
maqcbrain1	PTB	5
maqcbrain1	TDP43	1
maqcbrain1	TDP43_ES	1
maqcbrain1	TDP43_SHSY5Y	1
maqcbrain1	TIA1	7
maqcbrain1	TIAL1	8
maqcbrain1	TIAL1_Hela	14
maqcbrain1	U2AF65	9
maqcbrain1	hnRNPC	7
maqcbrain2	CFIm25	23
maqcbrain2	CFIm59	41
maqcbrain2	CFIm68	24
maqcbrain2	CPSF100	1
maqcbrain2	CPSF160	32
maqcbrain2	CPSF30	8
maqcbrain2	CPSF73	1
maqcbrain2	CstF64	35
maqcbrain2	CstF64tau	39
maqcbrain2	Fip1	12
maqcbrain2	HuR_Mukherjee	5
maqcbrain2	PTB	3
maqcbrain2	TDP43	2
maqcbrain2	TDP43_ES	2
maqcbrain2	TDP43_SHSY5Y	1
maqcbrain2	TIA1	5
maqcbrain2	TIAL1	6
maqcbrain2	TIAL1_Hela	10
maqcbrain2	U2AF65	8
maqcbrain2	hnRNPC	6
muscle	CFIm25	20
muscle	CFIm59	41
muscle	CFIm68	28
muscle	CPSF100	1
muscle	CPSF160	36
muscle	CPSF30	6
muscle	CPSF73	3
muscle	CstF64	30
muscle	CstF64tau	39
muscle	Fip1	11
muscle	HuR_Mukherjee	4
muscle	PTB	6
muscle	TDP43	1
muscle	TDP43_ES	1
muscle	TDP43_SHSY5Y	1
muscle	TIA1	2
muscle	TIAL1	5
muscle	TIAL1_Hela	8
muscle	U2AF65	10
muscle	hnRNPC	7
testis	CFIm25	25
testis	CFIm59	48
testis	CFIm68	29
testis	CPSF100	1
testis	CPSF160	43
testis	CPSF30	8
testis	CPSF73	4
testis	CstF64	37
testis	CstF64tau	47
testis	Fip1	15
testis	HuR_Mukherjee	5
testis	PTB	3
testis	TDP43	2
testis	TDP43_ES	2
testis	TDP43_SHSY5Y	1
testis	TIA1	5
testis	TIAL1	5
testis	TIAL1_Hela	13
testis	U2AF65	11
testis	hnRNPC	4
